Año,Trimestre,Provincia,Accesos por cada 100 hab,Accesos por cada 100 hogares
2015,1,Neuquén,15.5262500689212,51.9544367381025
2015,1,Río Negro,13.9938752623861,45.3269490720278
2015,1,Salta,7.29464296478474,30.0097882334428
2015,1,San Juan,7.03958245314213,27.5531927597664
2015,1,San Luis,2.79040145762204,9.71604896376059
2015,1,Santa Cruz,8.39189695742154,27.9948639434945
2015,1,Santa Fe,15.8327732920364,50.2444947593192
2015,1,Santiago Del Estero,4.24446895477843,17.0558169911586
2015,1,Tierra Del Fuego,22.1671547645866,74.2349517001027
2015,1,Tucumán,8.71860866450986,35.0786068853898
2015,2,Buenos Aires,17.325662544573,56.8028056143921
2015,2,CABA,44.0848542837935,116.066270918604
2015,2,Catamarca,6.47514486431421,25.4534180446982
2015,2,Chaco,7.34122953862533,27.4645393883995
2015,2,Chubut,11.2156780993502,36.5824672045848
